124,615,401,413,529,301,334
121,630,270,375,429,225,296
146,580,297,328,348,287,179
122,465,218,300,278,188,197
122,-2,-2,392,398,266,254
118,414,-2,519,608,347,301
120,447,273,376,424,180,222
117,-2,265,389,495,261,231
131,473,308,364,501,284,210
125,491,303,369,459,247,123
122,473,212,234,272,241,178
117,682,258,267,432,270,188
123,450,347,364,405,380,324
129,427,263,290,343,216,232
123,425,285,421,415,319,218
122,599,219,299,353,289,234
121,397,379,323,403,309,219
117,386,274,315,499,243,229
123,405,-2,314,515,247,245
119,401,225,301,508,264,189
118,347,298,323,355,285,194
120,509,-2,342,920,325,210
118,613,467,286,283,239,358
117,413,251,253,291,305,264
117,449,268,255,287,235,177
119,518,191,315,616,326,274
117,405,231,223,300,173,157
121,381,301,379,398,206,294
124,437,298,323,411,297,239
118,348,210,322,340,215,191
119,626,289,327,407,357,248
127,361,283,284,257,250,224
119,463,314,316,423,291,276
117,-2,387,511,549,276,353
117,523,376,332,427,243,195
117,483,206,404,-2,-2,198
117,417,-2,503,599,258,312
117,613,425,396,474,-1,-1
117,468,-1,-1,-1,-1,-1
118,372,294,312,467,271,229
117,444,405,631,411,341,243
117,460,292,293,379,295,233
119,420,329,277,321,276,200
117,470,-2,634,473,368,251
133,437,-2,351,374,239,209
117,372,222,305,433,322,203
128,732,476,767,695,397,361
185,743,606,359,470,362,279
121,490,-2,-2,438,322,297
117,404,233,298,361,226,218
170,502,297,409,562,335,313
130,474,494,316,421,244,194
189,526,246,368,513,192,198
117,294,192,265,362,270,186
134,-2,-2,-2,-2,-2,-2
133,391,579,747,655,442,328
122,466,281,345,451,360,325
117,545,381,296,377,276,194
120,777,344,373,381,220,283
145,447,637,432,652,443,251
126,315,238,277,419,335,194
137,326,261,285,350,232,194
131,592,327,472,730,357,298
164,719,434,584,844,391,189
127,456,232,344,600,227,221
120,718,299,703,-2,355,205
123,802,345,504,894,363,312
124,558,403,432,596,346,232
117,430,341,475,540,338,238
121,470,283,369,596,425,228
153,595,312,528,538,346,300
124,462,272,387,511,244,181
120,479,249,478,426,232,204
126,757,405,418,404,240,184
123,609,574,611,649,335,-2
122,471,303,398,703,342,219
117,485,524,471,726,366,263
118,501,350,361,365,289,207
117,495,327,416,807,278,301
117,763,409,532,818,-2,280
118,883,382,384,-2,325,284
121,596,352,351,495,287,222
117,404,393,272,370,241,227
117,578,438,602,626,362,218
117,394,277,327,389,298,205
117,614,260,329,396,256,245
117,707,264,509,636,297,323
120,502,186,439,776,350,325
117,331,266,276,489,225,206
117,547,229,245,489,264,207
117,548,324,416,540,319,240
117,823,-2,483,658,363,395
117,606,372,430,530,264,203
117,829,-2,448,958,413,322
117,557,355,568,841,359,423
117,343,202,308,548,496,242
117,611,289,286,631,380,415
117,626,349,347,503,452,227
117,534,372,409,466,389,281
117,900,245,490,424,282,226
117,419,314,454,328,272,178
122,619,397,432,473,-2,265
120,797,308,436,758,383,286
117,348,200,289,397,297,226
121,-2,-2,-2,-2,-2,-2
117,583,328,347,665,398,275
124,599,361,643,536,319,387
117,423,196,342,686,437,260
117,459,214,294,294,201,229
117,536,350,338,822,290,387
121,793,596,382,537,412,334
117,414,220,297,286,230,223
118,601,393,330,544,286,227
117,707,519,486,783,397,313
117,769,535,465,540,332,297
117,572,680,511,704,375,247
117,354,248,248,511,473,220
122,-2,-2,-2,-2,-2,-2
121,-2,-2,-2,-2,-2,-2
121,402,362,277,650,321,168
121,468,276,251,557,259,249
123,689,373,501,483,350,292
119,566,575,596,555,435,226
127,645,377,384,244,214,146
119,-2,-2,-2,-2,-2,-2
123,-2,-2,-2,-2,-2,-2
121,473,291,426,281,268,220
120,-2,-2,-2,-2,-2,-2
117,662,418,486,379,286,235
126,-2,565,627,699,450,350
126,-2,484,-2,381,346,-2
128,546,257,376,465,285,281
117,541,310,376,297,210,271
120,494,422,359,410,243,242
126,528,350,618,629,304,290
164,611,331,300,415,196,242
123,686,386,456,644,293,270
117,423,238,305,370,266,245
117,493,375,569,482,383,346
120,614,295,419,407,245,244
117,-2,534,621,677,375,405
117,514,440,507,489,307,193
121,486,294,407,346,381,232
117,621,255,528,433,358,342
118,519,458,487,357,408,198
117,607,412,574,445,233,221
117,431,291,296,256,206,241
118,482,459,449,-2,287,344
117,334,296,359,543,234,212
124,654,470,618,645,298,343
117,573,435,494,525,219,259
117,305,284,367,297,223,193
123,391,451,605,875,251,212
117,561,396,384,486,355,270
117,-2,-2,-2,-2,-2,-2
117,369,218,193,292,270,211
117,452,251,319,331,247,177
117,632,690,689,997,400,328
117,436,288,353,330,201,256
117,525,385,460,603,324,261
117,469,271,322,248,244,178
117,499,353,570,840,367,-2
117,501,279,420,609,247,220
117,424,497,308,500,224,-2
117,309,300,267,421,243,242
117,433,282,288,263,220,213
117,508,382,388,270,266,283
121,500,270,249,245,203,198
117,829,312,566,735,-2,-2
124,580,301,373,287,272,243
117,939,540,-2,763,-2,233
124,408,262,320,280,218,163
